product,version,tier,benefit_code,attribute,value,unit,source_ref
corporate-travel,2026,plan-1,emergency_telephone_charges,value,200,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,emergency_telephone_charges,value,200,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,emergency_telephone_charges,value,200,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,hospital_confinement_benefit_200,value,10000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,hospital_confinement_benefit_200,value,10000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,hospital_confinement_benefit_200,value,10000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,international_zone_3,value,142,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,international_zone_3,value,232,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,international_zone_3,value,312,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,overseas_medical_expenses,value,100000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,overseas_medical_expenses,value,300000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,overseas_medical_expenses,value,500000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,post_journey_medical_expenses,value,10000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,post_journey_medical_expenses,value,30000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,post_journey_medical_expenses,value,50000,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,regional_zone_1_2,value,122,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,regional_zone_1_2,value,162,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,regional_zone_1_2,value,237,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-1,traditional_chinese_medical_treatment,value,750,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-2,traditional_chinese_medical_treatment,value,750,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
corporate-travel,2026,plan-3,traditional_chinese_medical_treatment,value,750,,raw/web/www.etiqa.com.sg/2026-08-25/business-insurance-corporate-travel.md#what-is-covered
