product,version,tier,benefit_code,attribute,value,unit,source_ref
maid-insurance,2026,plan-a,accidental_death,limit,60000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,accidental_death,limit,65000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,accidental_death,limit,70000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,covid_19_cover,limit,52.00,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,plan_a,limit,260.96,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,plan_a,limit,234.87,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,plan_b,limit,282.36,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,plan_b,limit,254.13,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,plan_c,limit,314.46,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,plan_c,limit,283.02,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-a,repatriation_expenses,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,repatriation_expenses,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,repatriation_expenses,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,security_bond_protector,limit,48.13,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,security_bond_protector,limit,29.81,$,raw/web/www.etiqa.com.sg/2026-08-25/personal-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-a,special_grant,limit,500,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,special_grant,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,special_grant,limit,2000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-a,termination_re_hiring_expenses,limit,250,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,termination_re_hiring_expenses,limit,300,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,termination_re_hiring_expenses,limit,350,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-a,third_party_liability,limit,5000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-b,third_party_liability,limit,7500,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
maid-insurance,2026,plan-c,third_party_liability,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-maid-insurance.md#what-is-covered
