product,version,tier,benefit_code,attribute,value,unit,source_ref
solitaire-protect,2026,gold,section_1,limit,150000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_1,limit,200000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_1,limit,100000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,gold,section_2,limit,150000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_2,limit,200000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_2,limit,100000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,gold,section_3,limit,6000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_3,limit,8000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_3,limit,2000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,gold,section_4,limit,3000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_4,limit,3000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_4,limit,3000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,gold,section_6,limit,20000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_6,limit,30000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_6,limit,10000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,gold,section_7,limit,8000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,platinum,section_7,limit,10000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
solitaire-protect,2026,silver,section_7,limit,5000,S$,raw/web/www.etiqa.com.sg/2026-08-25/personal-personal-accident-solitaire-protect.md#what-is-covered
