product,version,tier,benefit_code,attribute,value,unit,source_ref
travel-insurance,2026,entry,adult_aged_below_70_years_old,limit,150000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,adult_aged_below_70_years_old,limit,500000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,adult_aged_below_70_years_old,limit,300000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,bankruptcy_of_travel_agent,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,bankruptcy_of_travel_agent,limit,3000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,bankruptcy_of_travel_agent,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,child,limit,50000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,child,limit,200000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,child,limit,100000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,child_ren_guardian,limit,5000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,child_ren_guardian,limit,2500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,compassionate_visit,limit,7500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,compassionate_visit,limit,5000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,emergency_telephone_charges,limit,100,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,emergency_telephone_charges,limit,400,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,emergency_telephone_charges,limit,200,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,flight_overbooking,limit,100,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,flight_overbooking,limit,100,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,flight_overbooking,limit,100,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,hijacking_kidnapping_and_hostage,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,hijacking_kidnapping_and_hostage,limit,3000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,hijacking_kidnapping_and_hostage,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,home_content_cover,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,home_content_cover,limit,5000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,hospital_visitation,limit,5000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,hospital_visitation,limit,2500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,medical_expenses_incurred_in_singapore,limit,10000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,medical_expenses_incurred_in_singapore,limit,7500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,rental_car,limit,300,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,rental_car,limit,1000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,rental_car,limit,500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,sport_equipment_protector,limit,500,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,luxury,sport_equipment_protector,limit,4000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,savvy,sport_equipment_protector,limit,2000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
travel-insurance,2026,entry,travel_curtailment,limit,3000,$,raw/web/www.tiq.com.sg/2026-08-25/product-travel-insurance.md#what-is-covered
