product,version,tier,benefit_code,attribute,value,unit,source_ref
travel-takaful,2026,classic,adult_70_years_old_and_above,value,50000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,adult_70_years_old_and_above,value,100000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,adult_70_years_old_and_above,value,150000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,adult_below_70_years_old,value,200000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,adult_below_70_years_old,value,350000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,adult_below_70_years_old,value,500000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,child,value,75000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,child,value,125000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,child,value,200000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,emergency_medical_evacuation_repatriation,value,1000000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,golf_equipment,value,1000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,golf_equipment,value,1500,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,golf_hole_in_one,value,250,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,golf_hole_in_one,value,250,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,individual,value,3000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,individual,value,5000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,individual,value,10000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,limit,value,100,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,limit,value,200,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,suite,limit,value,300,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,classic,maximum,value,500000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
travel-takaful,2026,deluxe,maximum,value,1000000,,raw/web/www.etiqa.com.sg/2026-08-25/personal-travel-insurance-travel-takaful.md#what-is-covered
