product,version,tier,benefit_code,attribute,value,unit,source_ref
travel,2026.1,ALL,travel_delay,threshold_hours,6,hours,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-1,travel_delay,payout_per_block,100,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-2,travel_delay,payout_per_block,150,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-3,travel_delay,payout_per_block,200,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-1,travel_delay,cap,500,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-2,travel_delay,cap,1000,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-3,travel_delay,cap,1500,S$,raw/product-summaries/travel-2026.1.md#delay
travel,2026.1,tier-1,medical_expenses,limit,200000,S$,raw/product-summaries/travel-2026.1.md#medical
travel,2026.1,tier-2,medical_expenses,limit,500000,S$,raw/product-summaries/travel-2026.1.md#medical
travel,2026.1,tier-3,medical_expenses,limit,1000000,S$,raw/product-summaries/travel-2026.1.md#medical
travel,2026.1,tier-1,baggage_loss,limit,3000,S$,raw/product-summaries/travel-2026.1.md#baggage
travel,2026.1,tier-2,baggage_loss,limit,5000,S$,raw/product-summaries/travel-2026.1.md#baggage
travel,2026.1,tier-3,baggage_loss,limit,7500,S$,raw/product-summaries/travel-2026.1.md#baggage
travel,2026.1,ALL,baggage_loss,per_item_limit,500,S$,raw/product-summaries/travel-2026.1.md#baggage
travel,2026.1,tier-1,trip_cancellation,limit,5000,S$,raw/product-summaries/travel-2026.1.md#cancellation
travel,2026.1,tier-2,trip_cancellation,limit,10000,S$,raw/product-summaries/travel-2026.1.md#cancellation
travel,2026.1,tier-3,trip_cancellation,limit,15000,S$,raw/product-summaries/travel-2026.1.md#cancellation
travel,2025.2,tier-2,travel_delay,payout_per_block,120,S$,raw/wordings/travel-2025.2.md#delay
travel,2025.2,ALL,travel_delay,threshold_hours,8,hours,raw/wordings/travel-2025.2.md#delay
travel,2025.2,tier-2,medical_expenses,limit,400000,S$,raw/wordings/travel-2025.2.md#medical
